biz_name,biz_info,e_address,e_city,e_state,e_postal,e_country,loc_county,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,biz_phone,biz_email,web_url,img_url,c_type,c_years,c_setting,c_housing,c_pop,c_ratio,c_tuition,oos_tuition,rank,acceptance_rate,majors,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8
Alabama A & M University,Bachelor's degree;Master's degree;Post-master's certificate,4900 Meridian St N,Huntsville,AL,35811,USA,Madison,1089,3440,,CST,Y,(256) 372-5000,,http://www.aamu.edu/,alabama_a&m.jpg,Public,4 Years,City: Midsize,1,5327,14 to 1,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
A T Still University of Health Sciences,Postbaccalaureate certificate;Master's degree;Other degree,800 W Jefferson St,Kirksville,MO,63501,USA,Adair,29001,,,CST,Y,(660) 626-2121,,http://www.atsu.edu,atsu.jpg,Private (Not For Profit),4 Years,Town: Remote,1,3702,,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
Abilene Christian University,Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,1600 Campus Ct,Abilene,TX,79601,USA,Taylor,48441,40,,CST,Y,(325) 674-2000,,http://www.acu.edu,abilene_christian.jpg,Private (Not For Profit),4 Years,City: Midsize,1,4813,15 to 1,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?," Describe a problem you've solved or a problem you'd like to solve. It can be an intellectual challenge, a research query, an ethical dilemma - anything that is of personal importance, no matter the scale. Explain its significance to you and what steps you took or could be taken to identify a solution."," Discuss an accomplishment or event, formal or informal, that marked your transition from childhood to adulthood within your culture, community, or family.",,,
Academy of Art University,Associate's degree;Two but less than 4 years certificate;Bachelor's degree;Master's degree,79 New Montgomery St,San Francisco,CA,94105,USA,San Francisco,6075,,7360,PST,Y,(415) 274-2200,,http://www.academyart.edu,academy_of_art.jpg,Private (For Profit),4 Years,City: Large,1,15413,20 to 1,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
Academy of Vocal Arts,Postbaccalaureate certificate,1920 Spruce St,Philadelphia,PA,19103,USA,Philadelphia,42101,,6160,EST,Y,(215) 735-1685,,http://www.avaopera.org,ava.jpg,Private (Not For Profit),4 Years,City: Large,1,24,,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
Adams State College,Associate's degree;Bachelor's degree;Master's degree,208 Edgemont Blvd,Alamosa,CO,81101,USA,Alamosa,8003,,,MST,Y,(719) 587-7011,,http://www.adams.edu,adams_state_college.jpg,Public,4 Years,Town: Remote,1,3121,17 to 1,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
Adelphi University,Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,South Ave,Garden City,NY,11530,USA,Nassau,36059,,5380,EST,Y,(516) 877-3000,,http:/www.adelphi.edu,adelphi_university.jpg,Private (Not For Profit),4 Years,Suburb: Large,1,7951,12 to 1,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
Adler Graduate School,Postbaccalaureate certificate;Master's degree,1550 E 78th St,Richfield,MN,55423,USA,Hennepin,27053,5120,,CST,Y,(612) 861-7554,,http://www.alfredadler.edu,adler_graduate.jpg,Private (Not For Profit),4 Years,Suburb: Large,0,421,,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
Adler School of Professional Psychology,Master's degree;Post-master's certificate,65 E Wacker Pl #2100,Chicago,IL,60601,USA,Cook,17031,,1600,CST,Y,(312) 662-4000,,http://www.adler.edu,adler.jpg,Private (Not For Profit),4 Years,City: Large,0,703,,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
Adrian College,Associate's degree;Bachelor's degree;Master's degree,110 S Madison St,Adrian,MI,49221,USA,Lenawee,26091,,440,EST,Y,(517) 265-5161,,http://www.adrian.edu,adrian_college.jpg,Private (Not For Profit),4 Years,Town: Distant,1,1608,15 to 1,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
Agnes Scott College,Bachelor's degree;Postbaccalaureate certificate;Master's degree,141 E College Ave,Decatur,GA,30030,USA,Dekalb,13089,520,,EST,Y,(404) 471-6000,,http://www.agnesscott.edu,agnes_scott.jpg,Private (Not For Profit),4 Years,Suburb: Large,1,868,9 to 1,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
AI Miami International University of Art and Design,Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree,1501 Biscayne Blvd,Miami,FL,33132,USA,Miami-Dade,12086,,5000,EST,Y,(800) 225-9023,,http://www.artinstitutes.edu/miami/,ai_miami_international.jpg,Private (For Profit),4 Years,City: Large,1,4177,21 to 1,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
Air Force Institute of Technology-Graduate School of Engineering & Management,Master's degree,2950 Hobson Way,Fairborn,OH,45324,USA,Greene,39057,2000,,EST,Y,(937) 255-3636,,http://www.afit.edu,,Public,4 Years,Suburb: Large,0,719,,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
Alabama State University,Bachelor's degree;Master's degree;Post-master's certificate,915 S Jackson St,Montgomery,AL,36104,USA,Montgomery,1101,5240,,CST,Y,(334) 229-4400,admissions@alasu.edu,http://www.alasu.edu,alabama_state.jpg,Public,4 Years,City: Midsize,1,5564,17 to 1,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
Alaska Bible College,Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree,College Rd,Glennallen,AK,99588,USA,Valdez Cordova,2261,,,PST-1,Y,(822) 320-1221,,http://www.akbible.edu/,,Private (Not For Profit),4 Years,,1,,,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
Alaska Pacific University,One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,4101 University Dr,Anchorage,AK,99508,USA,Anchorage,2020,380,,PST-1,Y,(907) 561-1266,,http://www.alaskapacific.edu,,Private (Not For Profit),4 Years,City: Large,1,781,8 to 1,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
Albany College of Pharmacy and Health Sciences,One but less than two years certificate;Bachelor's degree;Master's degree,106 New Scotland Ave,Albany,NY,12208,USA,Albany,36001,160,,EST,Y,(518) 694-7200,,http://www.acphs.edu,,Private (Not For Profit),4 Years,City: Small,1,1566,15 to 1,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
Albany Law School,Master's degree,80 New Scotland Ave,Albany,NY,12208,USA,Albany,36001,160,,EST,Y,(518) 445-2311,,http://www.albanylaw.edu,,Private (Not For Profit),4 Years,City: Small,0,773,,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
Albany Medical College,Master's degree,47 New Scotland Ave,Albany,NY,12208,USA,Albany,36001,160,,EST,Y,(518) 262-3125,,http://www.amc.edu,,Private (Not For Profit),4 Years,City: Small,0,807,,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
Albany State University,Associate's degree;Bachelor's degree;Master's degree;Post-master's certificate,504 College Dr,Albany,GA,31705,USA,Dougherty,13095,120,,EST,Y,(229) 430-4600,,http://www.asurams.edu/,,Public,4 Years,City: Small,1,4473,21 to 1,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
Albertus Magnus College,Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,700 Prospect St,New Haven,CT,6511,USA,New Haven,9009,,5480,EST,Y,(203) 773-8550,,http://www.albertus.edu,,Private (Not For Profit),4 Years,City: Midsize,1,2023,12 to 1,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
Albion College,Bachelor's degree,611 E Porter St,Albion,MI,49224,USA,Calhoun,26025,3720,,EST,Y,(517) 629-1000,,http://www.albion.edu,,Private (Not For Profit),4 Years,Town: Distant,1,1738,13 to 1,,,,,," Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","The lessons we take from failure can be fundamental to later success. Recount an incident or time when you experienced failure. How did it affect you, and what did you learn from the experience?",Reflect on a time when you challenged a belief or idea. What prompted you to act? Would you make the same decision again?,,,,,
Albright College,One but less than two years certificate;Bachelor's degree;Master's degree,1621 N 13th St,Reading,PA,19604,USA,Berks,42011,6680,,EST,Y,(610) 921-2381,,http://www.albright.edu,,Private (Not For Profit),4 Years,City: Small,1,2358,15 to 1,,,,,,,,,,,,,
Alcorn State University,Associate's degree;Bachelor's degree;Master's degree;Post-master's certificate,1000 Asu Dr #359,Lorman,MS,39096,USA,Jefferson,28063,,,CST,Y,(601) 877-6100,,http://www.alcorn.edu,,Public,4 Years,Rural: Remote,1,3334,14 to 1,,,,,,,,,,,,,
Alderson Broaddus College,Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree,101 College Hill Rd,Philippi,WV,26416,USA,Barbour,54001,,,EST,Y,(304) 457-1700,,http://www.ab.edu/,,Private (Not For Profit),4 Years,Rural: Fringe,1,711,10 to 1,,,,,,,,,,,,,
Alfred University,Bachelor's degree;Master's degree;Post-master's certificate,1 Saxon Dr,Alfred,NY,14802,USA,Allegany,36003,,,EST,Y,(607) 871-2111,,http://www.alfred.edu,,Private (Not For Profit),4 Years,Town: Remote,1,2319,12 to 1,,,,,,,,,,,,,
Alice Lloyd College,Bachelor's degree,100 Purpose Rd,Pippa Passes,KY,41844,USA,Knott,21119,,,EST,Y,(606) 368-2101,,http://www.alc.edu,,Private (Not For Profit),4 Years,Rural: Remote,1,595,17 to 1,,,,,,,,,,,,,
Allegheny College,Bachelor's degree,520 N Main St,Meadville,PA,16335,USA,Crawford,42039,,,EST,Y,(814) 332-3100,,http://www.allegheny.edu,,Private (Not For Profit),4 Years,Town: Distant,1,2132,12 to 1,,,,,,,,,,,,,
Allegheny Wesleyan College,Less than one year certificate;Bachelor's degree,2161 Woodsdale Rd,Butler,OH,44460,USA,Columbiana,39029,9320,,EST,Y,(330) 337-6403,,http://www.awc.edu,,Private (Not For Profit),4 Years,Rural: Fringe,1,61,10 to 1,,,,,,,,,,,,,
Allen College,One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree;Post-master's certificate,1990 Heath St,Waterloo,IA,50703,USA,Black Hawk,19013,8920,,CST,Y,(319) 226-2000,,http://www.allencollege.edu,,Private (Not For Profit),4 Years,Rural: Fringe,1,454,11 to 1,,,,,,,,,,,,,
Allen University,Bachelor's degree,1530 Harden St,Columbia,SC,29204,USA,Richland,45079,1760,,EST,Y,(803) 254-4165,,http://www.allenuniversity.edu,,Private (Not For Profit),4 Years,City: Midsize,1,827,25 to 1,,,,,,,,,,,,,
Alliant International University,Bachelor's degree;Postbaccalaureate certificate;Master's degree,10455 Pomerado Rd,San Diego,CA,92131,USA,San Diego,6073,7320,,PST,Y,(866) 825-5426,,http://www.alliant.edu,,Private (Not For Profit),4 Years,City: Large,1,4157,16 to 1,,,,,,,,,,,,,
